algorithm,configuration,n_runs,mae_mean,mae_std,rmse_mean,r2_mean
XGBoost,FULL_HYBRID,1,0.3330097878234103,0.0,0.5832241431657874,0.617210830161845
XGBoost,NO_TEMPORAL,1,0.3326075329369884,0.0,0.5807246246482732,0.6204848316903163
XGBoost,NO_STATIC_MECH,1,0.3382827188243619,0.0,0.5888806365494977,0.6097497385111419
XGBoost,PURE_ML,1,0.3441460375518727,0.0,0.5893138112369729,0.6091753989963773
XGBoost,ONLY_MECH,1,0.5673870026349166,0.0,0.833118952747458,0.2189071124977564
LSTM,FULL_HYBRID,10,0.39702942635306593,0.026449479009501724,0.5980001762169014,0.5973959346177479
LSTM,NO_TEMPORAL,10,0.378771265939908,0.02932627957042707,0.5933436977198936,0.6036636687661344
LSTM,NO_STATIC_MECH,10,0.37838005600155633,0.029536991506804132,0.5904002325609682,0.6075773343336152
LSTM,PURE_ML,10,0.395701157012546,0.03215885460429223,0.6037879030334543,0.5894997076307674
LSTM,ONLY_MECH,10,0.3772307422663682,0.020325853747134602,0.5922169982472201,0.6052674271386304
